ID,Zone,Woreda,Kebele,Forest name,Area in hec.,X,Y,Remark,Latitude,Longitude
,West Showa,DireInchini,Buyama Roge,Labu Ballo,,349276.0,964525.0,, 8.72321° N, 37.62986° E
,,,,,,,,, nan° N, nan° E
,West Showa,DireInchini,Buyama Roge,Waguta,44.55ha,354585.0,964805.0,, 8.72592° N, 37.67810° E
,West Showa,DireInchini,Buyama Roge,Waguta,,354789.0,964809.0,, 8.72596° N, 37.67996° E
,West Showa,DireInchini,Buyama Roge,Waguta,,354788.0,964937.0,, 8.72712° N, 37.67994° E
,West Showa,DireInchini,Buyama Roge,Waguta,,354846.0,965047.0,, 8.72811° N, 37.68047° E
3.0,West Showa,DireInchini,Buyama Roge,Waguta,,355008.0,965228.0,, 8.72975° N, 37.68193° E
,West Showa,DireInchini,Buyama Roge,Waguta,,354996.0,965405.0,, 8.73136° N, 37.68182° E
,West Showa,DireInchini,Buyama Roge,Waguta,,354828.0,965413.0,, 8.73142° N, 37.68029° E
,West Showa,DireInchini,Buyama Roge,Waguta,,354735.0,965451.0,, 8.73176° N, 37.67945° E
,West Showa,DireInchini,Buyama Roge,Waguta,,354719.0,965509.0,, 8.73229° N, 37.67930° E
,West Showa,DireInchini,Buyama Roge,Waguta,,354781.0,965567.0,, 8.73281° N, 37.67986° E
,West Showa,DireInchini,Buyama Roge,Waguta,,354443.0,965650.0,, 8.73355° N, 37.67679° E
,West Showa,DireInchini,Buyama Roge,Waguta,,354754.0,965629.0,, 8.73337° N, 37.67961° E
,West Showa,DireInchini,Buyama Roge,Waguta,,354604.0,965544.0,, 8.73260° N, 37.67825° E
,West Showa,DireInchini,Buyama Roge,Waguta,,354550.0,965605.0,, 8.73315° N, 37.67776° E
,West Showa,DireInchini,Buyama Roge,Waguta,,354331.0,965594.0,, 8.73304° N, 37.67577° E
,West Showa,DireInchini,Buyama Roge,Waguta,,354297.0,965515.0,, 8.73233° N, 37.67546° E
,West Showa,DireInchini,Buyama Roge,Waguta,,354290.0,965425.0,, 8.73151° N, 37.67540° E
,West Showa,DireInchini,Buyama Roge,Waguta,,354237.0,965393.0,, 8.73122° N, 37.67492° E
,West Showa,DireInchini,Buyama Roge,Waguta,,354213.0,965330.0,, 8.73065° N, 37.67471° E
,West Showa,DireInchini,Buyama Roge,Waguta,,354210.0,965235.0,, 8.72979° N, 37.67468° E
,West Showa,DireInchini,Buyama Roge,Waguta,,354107.0,965174.0,, 8.72924° N, 37.67375° E
,West Showa,DireInchini,Buyama Roge,Waguta,,354107.0,965110.0,, 8.72866° N, 37.67375° E
,West Showa,DireInchini,Buyama Roge,Waguta,,354223.0,965124.0,, 8.72879° N, 37.67480° E
,West Showa,DireInchini,Buyama Roge,Waguta,,354282.0,965085.0,, 8.72844° N, 37.67534° E
,West Showa,DireInchini,Buyama Roge,Waguta,,354342.0,965104.0,, 8.72861° N, 37.67589° E
,West Showa,DireInchini,Buyama Roge,Waguta,,354404.0,965037.0,, 8.72801° N, 37.67645° E
,West Showa,DireInchini,Buyama Roge,Waguta,,354304.0,964987.0,, 8.72755° N, 37.67554° E
,West Showa,DireInchini,Buyama Roge,Waguta,,354409.0,964937.0,, 8.72710° N, 37.67650° E
,West Showa,DireInchini,Buyama Roge,Waguta,,354457.0,964939.0,, 8.72712° N, 37.67694° E
,,,,,,,,, nan° N, nan° E
,West Showa,DireInchini,Buyama Roge,Atete,13.29ha,348378.0,964353.0,, 8.72163° N, 37.62170° E
,West Showa,DireInchini,Buyama Roge,Atete,,348409.0,964380.0,, 8.72187° N, 37.62199° E
,West Showa,DireInchini,Buyama Roge,Atete,,348546.0,964254.0,, 8.72074° N, 37.62323° E
,West Showa,DireInchini,Buyama Roge,Atete,,348569.0,964254.0,, 8.72074° N, 37.62344° E
,West Showa,DireInchini,Buyama Roge,Atete,,348673.0,964358.0,, 8.72168° N, 37.62439° E
4.0,West Showa,DireInchini,Buyama Roge,Atete,,348577.0,964478.0,, 8.72277° N, 37.62351° E
,West Showa,DireInchini,Buyama Roge,Atete,,348478.0,964530.0,, 8.72323° N, 37.62261° E
,West Showa,DireInchini,Buyama Roge,Atete,,348502.0,964616.0,, 8.72401° N, 37.62282° E
,West Showa,DireInchini,Buyama Roge,Atete,,348481.0,964692.0,, 8.72470° N, 37.62263° E
,West Showa,DireInchini,Buyama Roge,Atete,,348436.0,964754.0,, 8.72526° N, 37.62222° E
,West Showa,DireInchini,Buyama Roge,Atete,,348447.0,964837.0,, 8.72601° N, 37.62232° E
,West Showa,DireInchini,Buyama Roge,Atete,,348414.0,964925.0,, 8.72680° N, 37.62201° E
,West Showa,DireInchini,Buyama Roge,Atete,,348401.0,965038.0,, 8.72782° N, 37.62189° E
,West Showa,DireInchini,Buyama Roge,Atete,,348344.0,965037.0,, 8.72781° N, 37.62137° E
,West Showa,DireInchini,Buyama Roge,Atete,,348320.0,964960.0,, 8.72712° N, 37.62116° E
,West Showa,DireInchini,Buyama Roge,Atete,,348340.0,964816.0,, 8.72581° N, 37.62134° E
,West Showa,DireInchini,Buyama Roge,Atete,,348301.0,964791.0,, 8.72559° N, 37.62099° E
,West Showa,DireInchini,Buyama Roge,Atete,,348283.0,964558.0,, 8.72348° N, 37.62083° E
