ID,Zone,Woreda,Kebele,Forest name,Area in hec.,X,Y,Remark,Longitude,Latitude
,West Showa,DireInchini,Buyama Daballe,Daballe bamboo forest,,352735.0,965900.0,,37.66125404034293,8.73575925835285
,West Showa,DireInchini,Buyama Daballe,Daballe bamboo forest,,352730.0,965899.0,,37.66120862748385,8.73575005513737
,West Showa,DireInchini,Buyama Daballe,Daballe bamboo forest,,352719.0,965889.0,,37.6611089708597,8.73565927472959
,West Showa,DireInchini,Buyama Daballe,Daballe bamboo forest,,352719.0,965879.0,,37.66110929349147,8.73556884740135
,West Showa,DireInchini,Buyama Daballe,Daballe bamboo forest,,352702.0,965869.0,,37.66095510283877,8.735477874368987
,West Showa,DireInchini,Buyama Daballe,Daballe bamboo forest,,352690.0,965851.0,,37.660846615482896,8.73531471995337
,West Showa,DireInchini,Buyama Daballe,Daballe bamboo forest,,352690.0,965841.0,,37.66084693816495,8.735224292633228
,West Showa,DireInchini,Buyama Daballe,Daballe bamboo forest,,352672.0,965806.0,,37.66068446549388,8.734907219128003
,West Showa,DireInchini,Buyama Daballe,Daballe bamboo forest,,352672.0,965792.0,,37.66068491728107,8.7347806208854
,,,,,,,,,,
,West Showa,DireInchini,Buyama Daballe,Guto Degal forest,3.32 ha,351667.0,965416.0,,37.65156270535755,8.731348189781652
,West Showa,DireInchini,Buyama Daballe,Guto Degal forest,,351824.0,965472.0,,37.652987843270914,8.731859651541466
,West Showa,DireInchini,Buyama Daballe,Guto Degal forest,,351822.0,965465.0,,37.652969892588274,8.731796288051278
,West Showa,DireInchini,Buyama Daballe,Guto Degal forest,,351806.0,965500.0,,37.65282333452311,8.732112266173766
,West Showa,DireInchini,Buyama Daballe,Guto Degal forest,,351822.0,965531.0,,37.65296775115106,8.732393106527505
,West Showa,DireInchini,Buyama Daballe,Guto Degal forest,,351824.0,965575.0,,37.65298450128441,8.732791050067924
,West Showa,DireInchini,Buyama Daballe,Guto Degal forest,,351806.0,965572.0,,37.65282099806227,8.732763340823913
,West Showa,DireInchini,Buyama Daballe,Guto Degal forest,,351667.0,965560.0,,37.65155802829842,8.732650338432931
,,,,,,,,,,
,West Showa,DireInchini,Buyama Daballe,Racho bamboo forest,,348431.0,970123.0,,37.62199467358408,8.773805901934661
,West Showa,DireInchini,Buyama Daballe,Racho bamboo forest,,348470.0,970103.0,,37.62234984265166,8.773626344401983
,West Showa,DireInchini,Buyama Daballe,Racho bamboo forest,,348470.0,970029.0,,37.62235230998716,8.772957194303919
,West Showa,DireInchini,Buyama Daballe,Racho bamboo forest,,348431.0,969984.0,,37.62199930930334,8.772548985039007
,West Showa,DireInchini,Buyama Daballe,Racho bamboo forest,,348414.0,969973.0,,37.621845150112755,8.772448952794251
,West Showa,DireInchini,Buyama Daballe,Racho bamboo forest,,348401.0,969977.0,,37.62172684974869,8.77248469172698
,West Showa,DireInchini,Buyama Daballe,Racho bamboo forest,,348281.0,969404.0,,37.62065519940317,8.767299319241385
,West Showa,DireInchini,Buyama Daballe,Racho bamboo forest,,348443.0,969087.0,,37.62213828296267,8.764438197549907
,West Showa,DireInchini,Buyama Daballe,Racho bamboo forest,,348281.0,969052.0,,37.62066693999619,8.764116335990291
,West Showa,DireInchini,Buyama Daballe,Racho bamboo forest,,348173.0,969282.0,,37.61967759154585,8.766192541179171
,West Showa,DireInchini,Buyama Daballe,Racho bamboo forest,,348197.0,969398.0,,37.61989187041078,8.767242275346629
,West Showa,DireInchini,Buyama Daballe,Racho bamboo forest,,348173.0,969443.0,,37.61967221696511,8.767648393613262
,West Showa,DireInchini,Buyama Daballe,Racho bamboo forest,,348157.0,969451.0,,37.619526515612655,8.76772020267221
,West Showa,DireInchini,Buyama Daballe,Racho bamboo forest,,348110.0,969563.0,,37.61909556153438,8.76873140786146
,West Showa,DireInchini,Buyama Daballe,Racho bamboo forest,,348110.0,969647.0,,37.619092755513776,8.769490982769867
,West Showa,DireInchini,Buyama Daballe,Racho bamboo forest,,348173.0,969867.0,,37.61965805835254,8.771482439223835
,West Showa,DireInchini,Buyama Daballe,Racho bamboo forest,,348280.0,969989.0,,37.62062658777519,8.772589185957075
